,Class_Error,Freerun_Steps,Layer_Activity_0,Layer_Activity_1,Layer_Activity_2,Learnrate,Recon_Error,Temperature,Test_Epoch,Train_Epoch,W_mean_0,W_mean_1
0,,5,47.8668773651,23.5406944506,65.898784256,0.01,0.365692526102,0.1,1.0,0,0.000458720809547,0.00149722094648
1,,2,41.9626377106,36.7069738388,83.5615264893,0.00998003992016,0.155046597123,0.0998890122087,31.0,1,0.000605343608186,0.00103573757224
2,,2,41.9173370361,34.9704498291,54.0823127747,0.00996015936255,0.135452657938,0.09977827051,61.0,2,0.000773953273892,0.0010946955299
3,,2,42.0059150696,36.0371524811,34.3369598389,0.00994035785288,0.118328608572,0.0996677740864,91.0,3,0.00100196118001,0.00132371939253
4,,2,41.9920230865,36.1792058945,27.6698568344,0.00992063492063,0.11656806618,0.0995575221239,100.0,4,0.00119530921802,0.00157729012426
5,,2,42.1894779205,35.8990121841,30.1275865555,0.00990099009901,,0.0994475138122,,5,0.00136657699477,0.0017403884558
6,,2,42.1128433228,35.4555812836,40.8207248688,0.0098814229249,,0.0993377483444,,6,0.00153392972425,0.00193370343186
7,,2,41.8126010895,35.7903394699,50.2154373169,0.00986193293886,,0.0992282249173,,7,0.00168013374787,0.00213482440449
8,,2,41.4703338623,35.9680444717,62.8161048889,0.00984251968504,,0.0991189427313,,8,0.00181569310371,0.00250938767567
9,,2,41.1597473145,36.2895101547,71.4903072357,0.0098231827112,,0.0990099009901,,9,0.00195365725085,0.0027994713746
10,,2,41.0657688141,36.2046226501,79.1482948303,0.00980392156863,,0.0989010989011,,10,0.00207592989318,0.0030884782318
11,,2,41.1109542847,36.4611051559,83.6301994324,0.00978473581213,,0.0987925356751,,11,0.00219191238284,0.00335462368093
12,,2,40.9409309387,36.5428730011,88.2367225647,0.009765625,,0.0986842105263,,12,0.00229872111231,0.00368886208162
13,,2,41.0717769623,36.0242771149,89.5983886719,0.00974658869396,,0.0985761226725,,13,0.00240686885081,0.00402785278857
14,,2,40.8038593292,36.0582838058,90.8872909546,0.00972762645914,,0.0984682713348,,14,0.00250782002695,0.00435390835628
15,,2,40.6700099945,35.6758113861,92.714679718,0.00970873786408,,0.0983606557377,,15,0.00260574161075,0.00461597833782
16,,2,40.6639808655,35.8671554565,94.0562446594,0.00968992248062,,0.0982532751092,,16,0.00269765336998,0.00488466210663
17,,2,40.5099628448,35.6296234131,95.4881576538,0.00967117988395,,0.0981461286805,,17,0.00278832367621,0.00518211675808
18,,2,40.4750934601,36.075434494,95.8498580933,0.00965250965251,,0.0980392156863,,18,0.0028748747427,0.0054742875509
19,,2,40.5379306793,35.7488349915,96.1253044128,0.00963391136802,,0.0979325353645,,19,0.00295408139937,0.00573629559949
20,,2,40.5454601288,35.6079389572,96.4760704041,0.00961538461538,,0.0978260869565,,20,0.00303115043789,0.0060103777796
21,,2,40.4609172821,36.1184211731,96.451789856,0.00959692898273,,0.0977198697068,,21,0.00311015406623,0.00627636257559
22,,2,40.5161560059,35.6910888672,97.1815391541,0.0095785440613,,0.0976138828633,,22,0.0031848475337,0.0065216938965
23,,2,40.5024448395,36.0795764923,97.584588623,0.00956022944551,,0.0975081256771,,23,0.00325502385385,0.00675288680941
24,,2,40.4553443909,35.7224945068,97.6550086975,0.00954198473282,,0.0974025974026,,24,0.00332544185221,0.00696761161089
25,,2,40.4077339172,35.5365528107,97.6944412231,0.00952380952381,,0.0972972972973,,25,0.00339082069695,0.0072818081826
26,,2,40.4206184387,35.7335395813,97.7626480103,0.00950570342205,,0.097192224622,,26,0.00345713109709,0.00745779229328
27,,2,40.2128658295,36.0021717072,98.246875,0.00948766603416,,0.0970873786408,,27,0.00351682002656,0.00772716244683
28,,2,40.2675914764,35.8861505508,98.2630073547,0.0094696969697,,0.0969827586207,,28,0.00357816065662,0.00791301950812
29,,2,40.1643795013,35.9396621704,98.3066108704,0.00945179584121,,0.0968783638321,,29,0.00364056206308,0.00809397734702
30,,2,40.2124958038,35.863867569,98.4701637268,0.00943396226415,,0.0967741935484,,30,0.00369989778847,0.00830056797713
31,,2,40.2739646912,36.0681331635,98.3074447632,0.00941619585687,,0.0966702470462,,31,0.00376058649272,0.00853332225233
32,,2,40.1953163147,36.0805135727,98.8772109985,0.0093984962406,,0.0965665236052,,32,0.00382066122256,0.00870719645172
33,,2,40.2697532654,36.3779014587,98.7639976501,0.0093808630394,,0.096463022508,,33,0.0038794062566,0.00892447214574
34,,2,40.3466461182,36.6368461609,98.8788024902,0.00936329588015,,0.0963597430407,,34,0.00393763929605,0.0090616485104
35,,2,40.0453636169,36.3796897888,98.7854804993,0.00934579439252,,0.096256684492,,35,0.00399224087596,0.00924157164991
36,,2,40.2675445557,36.2957996368,98.9363960266,0.00932835820896,,0.0961538461538,,36,0.0040480364114,0.00940611120313
37,,2,39.9961097717,36.6215618134,99.0059242249,0.00931098696462,,0.0960512273212,,37,0.00410333462059,0.00962865911424
38,,2,40.0660957336,36.1345783234,99.0496452332,0.0092936802974,,0.0959488272921,,38,0.00415701884776,0.00977671518922
39,,2,40.2760410309,36.4994026184,98.4102012634,0.00927643784787,,0.0958466453674,,39,0.00421031285077,0.00991129688919
40,,2,40.1956008911,36.3845199585,98.9160720825,0.00925925925926,,0.0957446808511,,40,0.00426415121183,0.0100428741425
41,,2,40.3160442352,36.3215080261,98.9738136292,0.00924214417745,,0.0956429330499,,41,0.00431607943028,0.0101046273485
42,,2,40.2201648712,36.4105068207,98.9962051392,0.00922509225092,,0.0955414012739,,42,0.00436662416905,0.0102586383
