,Class_Error,Freerun_Steps,Layer_Activity_0,Layer_Activity_1,Layer_Activity_2,Layer_Activity_3,Learnrate,Recon_Error,Temperature,Test_Epoch,Train_Epoch,W_mean_0,W_mean_1,W_mean_2
0,0.6657,5,14.3929938936,19.1317660761,21.5112361908,11.6403124189,0.01,0.059773042798,0.1,1.0,0,0.0326496623456,0.0653245896101,0.0115875983611
1,0.5429,5,13.0500313902,22.7609165192,21.6086239147,10.0227227211,0.00998003992016,0.0574546568096,0.0998890122087,3.0,1,0.0328371226788,0.0657758936286,0.0161209683865
2,,5,13.0349538517,23.1826597309,22.5477198124,10.0959877634,0.00996015936255,,0.09977827051,,2,0.0330365784466,0.0662269815803,0.0210981294513
